,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
532,"Cocó, Fortaleza",,"Apartamento para comprar 
Cocó, Fortaleza",111,3,4,2,R$ 1.300.000,Cond. R$ 998,Cocó, Fortaleza
533,"Engenheiro Luciano Cavalcante, Fortaleza",,"Casa para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",200,3,3,6,R$ 880.000,Cond. R$ 1 • IPTU R$ 1,Engenheiro Luciano Cavalcante, Fortaleza
534,"Meireles, Fortaleza",Rua Coronel Linhares,"Apartamento para comprar 
Meireles, Fortaleza",38,2,3,1,R$ 659.750,Cond. R$ 380,Meireles, Fortaleza
535,"Aldeota, Fortaleza",Rua Vicente Linhares,"Apartamento para comprar 
Aldeota, Fortaleza",150,4,5,3,R$ 1.750.000,Cond. R$ 1.500 • IPTU R$ 2.000,Aldeota, Fortaleza
536,"Sapiranga, Fortaleza",Rua Antônio Gentil,"Apartamento para comprar 
Sapiranga, Fortaleza",90,3,4,2,R$ 380.000,IPTU R$ 221,Sapiranga, Fortaleza
537,"Novo Mondubim, Fortaleza",Rua Alfredo Mamede,"Apartamento para comprar 
Novo Mondubim, Fortaleza",48,2,1,1,R$ 150.000,Cond. R$ 290,Novo Mondubim, Fortaleza
538,"Mucuripe, Fortaleza",,"Apartamento para comprar 
Mucuripe, Fortaleza",86,2,2,2,R$ 890.000,Cond. R$ 700 • IPTU R$ 1.900,Mucuripe, Fortaleza
539,"Edson Queiroz, Fortaleza",Rua Hil de Moraes,"Apartamento para comprar 
Edson Queiroz, Fortaleza",70,2,2,1,R$ 645.000,Cond. R$ 489,Edson Queiroz, Fortaleza
540,"Guararapes, Fortaleza",Rua Desembargador Manuel Sales Andrade,"Apartamento para comprar 
Guararapes, Fortaleza",303,4,5,4,R$ 2.590.000,Cond. R$ 4.000 • IPTU R$ 2.000,Guararapes, Fortaleza
541,"Paupina, Fortaleza",Rua A Lot Messejana,"Apartamento para comprar 
Paupina, Fortaleza",41,2,1,1,R$ 80.000,Cond. R$ 250 • IPTU R$ 100,Paupina, Fortaleza
542,"Parque Iracema, Fortaleza",Rua Amâncio Valente,"Apartamento para comprar 
Parque Iracema, Fortaleza",65,3,2,1,R$ 365.000,Cond. R$ 577,Parque Iracema, Fortaleza
543,"Lagoa Redonda, Fortaleza",Avenida Odilon Guimarães,"Casa de condomínio para comprar 
Lagoa Redonda, Fortaleza",195,3,4,2,R$ 899.000,Cond. R$ 1.100,Lagoa Redonda, Fortaleza
544,"Papicu, Fortaleza",Rua Ary Barroso,"Apartamento para comprar 
Papicu, Fortaleza",120,3,2,2,R$ 249.000,Cond. R$ 450,Papicu, Fortaleza
545,"Meireles, Fortaleza",Avenida Barão de Studart,"Apartamento para comprar 
Meireles, Fortaleza",39,1,2,1,R$ 553.093,0,Meireles, Fortaleza
546,"Itaperi, Fortaleza",Avenida Bernardo Manuel,"Casa para comprar 
Itaperi, Fortaleza",370,4,5,8,R$ 1.250.000,0,Itaperi, Fortaleza
547,"Aldeota, Fortaleza",Rua Coronel Linhares,"Apartamento para comprar 
Aldeota, Fortaleza",162,4,5,3,R$ 2.567.000,Cond. R$ 1.100 • IPTU R$ 3.000,Aldeota, Fortaleza
548,"Meireles, Fortaleza",Rua Monsenhor Bruno,"Apartamento para comprar 
Meireles, Fortaleza",188,3,3,3,R$ 1.890.000,Cond. R$ 1.900 • IPTU R$ 2.000,Meireles, Fortaleza
549,"Aldeota, Fortaleza",Rua Marcos Macêdo,"Apartamento para comprar 
Aldeota, Fortaleza",191,3,3,2,R$ 950.000,Cond. R$ 1.700 • IPTU R$ 360,Aldeota, Fortaleza
550,"Cajazeiras, Fortaleza",Avenida Deputado Paulino Rocha,"Casa para comprar 
Cajazeiras, Fortaleza",600,5,6,2,R$ 900.000,0,Cajazeiras, Fortaleza
551,"Meireles, Fortaleza",Rua Ildefonso Albano,"Apartamento para comprar 
Meireles, Fortaleza",21,1,1,1,R$ 490.411,0,Meireles, Fortaleza
552,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Vicente de Castro Filho,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",54,3,2,1,R$ 407.935,0,Engenheiro Luciano Cavalcante, Fortaleza
553,"Prefeito José Walter, Fortaleza",Rua 03H,"Apartamento para comprar 
Prefeito José Walter, Fortaleza",55,2,2,2,R$ 250.000,Cond. R$ 320 • IPTU R$ 200,Prefeito José Walter, Fortaleza
554,"Aldeota, Fortaleza",Rua Catão Mamede,"Apartamento para comprar 
Aldeota, Fortaleza",120,3,4,2,R$ 695.000,Cond. R$ 1.100 • IPTU R$ 1,Aldeota, Fortaleza
555,"João XXIII, Fortaleza",,"Casa de condomínio para comprar 
João XXIII, Fortaleza",200,3,2,2,R$ 379.000,Cond. R$ 300,João XXIII, Fortaleza
